項目コード,英語名,短縮英語名,日本語名
LB042003,Butter,Butter,バター
LB042004,Cheese,Cheese,チーズ
LB042005,OtherDairyProducts,OtherDairyPrdct,他の乳製品
LB043001,Eggs,Eggs,卵
LB05,C05VegetablesSeaweeds,VgtblSewds,05　野菜・海藻
LB051101,Cabbage,Cabbage,キャベツ
LB051102,Spinach,Spinach,ほうれんそう
LB051103,ChineseCabbage,ChinsCabbg,はくさい
LB051104,WelshOnions,WelshOnins,ねぎ
LB051105,Lettuce,Lettuce,レタス
LB051106,Broccoli,Broccoli,ブロッコリー
LB051107,BeanSprouts,BeanSprts,もやし
LB051108,OtherLeafyVegetables,OtherLeafyVgtbl,他の葉茎菜
LB051201,SweetPotatoes,SweetPotts,さつまいも
LB051202,WhitePotatoes,WhitePotts,じゃがいも
LB051203,Taros,Taros,さといも
LB051204,Radishes,Radishes,だいこん
LB051205,Carrots,Carrots,にんじん
LB051206,Burdocks,Burdocks,ごぼう
LB051207,Onions,Onions,たまねぎ
LB051208,LotusRoots,LotusRoots,れんこん
LB051209,BambooShoots,BamboShots,たけのこ
LB051210,OtherRootVegetables,OtherRootVgtbl,他の根菜
LB051301,StringBeans,StrngBeans,さやまめ
LB051302,Pumpkins,Pumpkins,かぼちゃ
LB051303,Cucumbers,Cucumbers,きゅうり
LB051304,Eggplants,Eggplants,なす
LB051305,Tomatoes,Tomatoes,トマト
LB051306,GreenPeppers,GreenPpprs,ピーマン
LB051307,NamaShiitake,NamaShiitake,生しいたけ
LB051308,Shimeji,Shimeji,しめじ
LB051309,Enokitake,Enokitake,えのきたけ
LB051310,OtherMushrooms,OtherMshrm,他のきのこ
LB051311,RestOfOtherVegetables,Others269,他の野菜のその他
LB052001,Beans,Beans,豆類
LB052002,HoshiShiitake,HoshiShiitake,干ししいたけ
LB052003,DriedLaver,DriedLaver,干しのり
LB052004,Wakame,Wakame,わかめ
LB052005,DriedTangle,DriedTangl,こんぶ
LB052006,OtherDriedVegetablesSeaweeds,OtherDriedVgtblSewds,他の乾物・海藻
LB053001,BeanCurd,BeanCurd,豆腐
LB053002,FriedBeanCurd,FriedBeanCurd,油揚げ・がんもどき
LB053003,Natto,Natto,納豆
LB053004,OtherSoybeanProducts,OtherSoybnPrdct,他の大豆製品
LB054001,Konnyaku,Konnyaku,こんにゃく
LB054002,Umeboshi,Umeboshi,梅干し
LB054003,Pickledradishes,PckldRdshs,だいこん漬
LB054004,PickledChineseCabbage,PckldChinsCabbg,はくさい漬
LB054005,OtherPickledVegetables,OtherPckldVgtbl,他の野菜の漬物
LB054006,TanglePreparedInSoySauce,TanglPrprdInSoySauce,こんぶつくだ煮
LB054007,OtherVegetablesSeaweedsPreparedInSoySauce,OtherVgtblSewdsPrprdInSoySauce,他の野菜・海藻のつくだ煮
LB054008,RestOfOtherProcessedVegetablesSeaweeds,Others299,他の野菜・海藻加工品のその他
LB06,C06Fruits,Fruits,06　果物
LB061001,Apples,Apples,りんご
LB061002,Mandarinoranges,MndrnOrngs,みかん
LB061004,Oranges,Oranges,オレンジ
LB061005,Othercitrusfruits,OtherCitrsFruts,他の柑きつ類
LB061006,Pears,Pears,梨
LB061007,Grapes,Grapes,ぶどう
LB061008,Persimmons,Persimmons,柿
LB061009,Peaches,Peaches,桃
LB061010,Watermelons,Watermelons,すいか
LB061011,Melons,Melons,メロン
LB061012,Strawberries,Strawberries,いちご
LB061013,Bananas,Bananas,バナナ
LB061014,KiwiFruits,KiwiFruts,キウイフルーツ
LB061015,OtherFruits,OtherFruts,他の果物
LB062001,ProcessedFruits,PrcssFruts,果物加工品
LB07,C07OilsFatsSeasonings,OilsFatsSsnng,07　油脂・調味料
LB071001,EdibleOil,EdiblOil,食用油
LB071002,Margarine,Margarine,マーガリン
LB072001,Salt,Salt,食塩
LB072002,SoySauce,SoySauce,しょう油
LB072003,Miso,Miso,みそ
LB072004,Sugar,Sugar,砂糖
LB072005,Vinegar,Vinegar,酢
LB072006,WorcesterSauce,WrcstSauce,ソース
LB072007,TomatoKetchup,TomatKtchp,ケチャップ
LB072008,MayonnaiseMayoFlavorSeasoning,MynnsMynnsFlavrSsnng,マヨネーズ・マヨネーズ風調味料
LB072009,Dressing,Dressing,ドレッシング
LB072010,Jam,Jam,ジャム
LB072011,InstantCurryMix,InstnCurryMix,カレールウ
LB072012,InstantDriedSoup,InstnDriedSoup,乾燥スープ
LB072013,SoupStock,SoupStock,風味調味料
LB072014,Furikake,Furikake,ふりかけ
LB072015,TsuyuTare,TsuyuTare,つゆ・たれ
LB072016,OtherSeasonings,OtherSsnng,他の調味料
LB08,C08CakesCandies,CakesCands,08　菓子類
LB080001,Yokan,Yokan,ようかん
LB080002,Manju,Manju,まんじゅう
LB080003,OtherFreshJapaneseCakes,OtherFreshJapnsCakes,他の和生菓子
LB080004,Kasutera,Kasutera,カステラ
LB080005,Cakes,Cakes,ケーキ
LB080006,Jelly,Jelly,ゼリー
LB080007,Puddings,Puddings,プリン
LB080008,OtherFreshCakes,OtherFreshCakes,他の洋生菓子
LB080009,Senbei,Senbei,せんべい
LB080010,Biscuits,Biscuits,ビスケット
LB080011,FriedSaltedSnackCrackers,FriedSaltdSnackCrckr,スナック菓子
LB080012,Candies,Candies,キャンデー
LB080013,Chocolate,Chocolate,チョコレート
LB080014,Chocolatesnacks,ChcltSncks,チョコレート菓子
LB080015,IceCreamIceSherbet,IceCreamIceShrbt,アイスクリーム・シャーベット
LB080016,OtherCakesCandies,OtherCakesCands,他の菓子
LB09,C09CookedFood,CookdFood,09　調理食品
LB091001,PackedLunch,PackdLunch,弁当
LB091002,SushiPacked,SushiPackd,すし（弁当）
LB091003,OnigiriOthers,OnigiriOthers,おにぎり・その他
LB091004,BreadLikeSandwichesPutCookedFoodBetweenBread,BreadLikeSndwcPutCookdFoodBetwnBread,調理パン
LB091005,OtherCookedFoodWithRiceBreadNoodles,OtherCookdFoodWithRiceBreadOrNodls,他の主食的調理食品
LB092001,Kabayaki,Kabayaki,うなぎのかば焼き
LB092002,Salad,Salad,サラダ
LB092003,Croquettes,Croquettes,コロッケ
LB092004,Cutlets,Cutlets,カツレツ
LB092005,Friedfood,FriedFood,天ぷら・フライ
LB092006,ShaoMais,ShaoMais,しゅうまい
LB092007,JiaoZi,JiaoZi,ぎょうざ
LB092008,Yakitori,Yakitori,やきとり
LB092009,HamburgSteak,HmbrgSteak,ハンバーグ
LB092010,FrozenFood,FroznFood,冷凍調理食品
LB092011,FoodStuffForCooking,FoodStuffForCokng,そうざい材料セット
LB092012,RestOfOtherCookedFood,Others376,他の調理食品のその他
LB10,C10Beverages,Beverages,10　飲料
LB101001,GreenTea,GreenTea,緑茶
LB101002,BlackTea,BlackTea,紅茶
LB101003,OtherTeaLeaves,OtherTeaLeavs,他の茶葉
LB101004,TeaBeverages,TeaBvrgs,茶飲料
LB102001,Coffee,Coffee,コーヒー
LB102002,CoffeeBeverages,CoffeBvrgs,コーヒー飲料
LB102003,CocoaCocoaBeverages,CocoaCocoaBvrgs,ココア・ココア飲料
LB103001,FruitsVegetablesJuice,FrutsVgtblJuice,果実・野菜ジュース
LB103002,CarbonatedBeverages,CrbntBvrgs,炭酸飲料
LB103003,FermentedLacticBeverages,FrmntLactcBvrgs,乳酸菌飲料
LB103004,LacticBeverages,LactcBvrgs,乳飲料
LB103005,MineralWater,MinrlWater,ミネラルウォーター
LB103006,SportsDrinks,SprtsDrnks,スポーツドリンク
LB103007,RestOfOtherBeverages,Others389,他の飲料のその他
LB11,C11AlcoholicBeverages,AlchlBvrgs,11　酒類
LB110001,Sake,Sake,清酒
LB110002,Shochu,Shochu,焼酎
LB110003,Beer,Beer,ビール
LB110004,Whisky,Whisky,ウイスキー
LB110005,Wine,Wine,ワイン
LB110006,BeerFlavoredAlcoholicBeverages,LowMaltBeerBeerFlvrdAlchlBvrgs,発泡酒
LB110007,ChuhiCocktail,ChuhiCcktl,チューハイ・カクテル
LB110008,OtherAlcoholicBeverages,OtherAlchlBvrgs,他の酒
LB12,C12MealsOutsideHome,MealsOutsdTheHome,12　外食
LB121101,SobaUdon,SobaUdon,日本そば・うどん
LB121102,ChineseNoodlesEatingOut,ChinsNodls391,中華そば
LB121103,OtherNoodlesEatingOut,OtherNodls392,他の麺類外食
LB121104,SushiEatingOut,SushiEatngOut,すし（外食）
LB121105,JapaneseMeals,JapnsMeals,和食
LB121106,ChineseMeals,ChinsMeals,中華食
LB121107,WesternMeals,WstrnMeals,洋食
LB121108,BroiledMeat,BroldMeat,焼肉
LB121109,Hamburgers,Hamburgers,ハンバーガー
LB121110,OtherMeals,OtherMeals,他の主食的外食
LB121201,OtherRefreshments,OtherRfrsh,喫茶代
LB121202,Drinking,Drinking,飲酒代
LB122001,SchoolLunch,ScholLunch,学校給食
